2025-09-11 19:46:15 | INFO | Updated author counts: {'Charlie': 2, 'Alice': 3, 'Diana': 2, 'Bob': 2, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:16 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:46:16 | INFO | Processed JSON message: {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:46:16 | INFO | Message received from author: Alice
2025-09-11 19:46:16 | INFO | Updated author counts: {'Charlie': 2, 'Alice': 4, 'Diana': 2, 'Bob': 2, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:17 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:17 | INFO | Processed JSON message: {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:17 | INFO | Message received from author: Charlie
2025-09-11 19:46:17 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 4, 'Diana': 2, 'Bob': 2, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:18 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:18 | INFO | Processed JSON message: {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:18 | INFO | Message received from author: Alice
2025-09-11 19:46:18 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 2, 'Bob': 2, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:19 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:19 | INFO | Processed JSON message: {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:19 | INFO | Message received from author: Diana
2025-09-11 19:46:19 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 2, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:20 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:20 | INFO | Processed JSON message: {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:20 | INFO | Message received from author: Bob
2025-09-11 19:46:20 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 4, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:21 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:46:21 | INFO | Processed JSON message: {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:46:21 | INFO | Message received from author: Eve
2025-09-11 19:46:21 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 5, 'Morgan': 2, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:22 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:46:22 | INFO | Processed JSON message: {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:46:22 | INFO | Message received from author: Morgan
2025-09-11 19:46:22 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 5, 'Morgan': 3, 'Taylor': 2, 'Alex': 2}
2025-09-11 19:46:23 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:23 | INFO | Processed JSON message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:23 | WARNING | ALERT: Pattern matched in message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:23 | INFO | Message received from author: Taylor
2025-09-11 19:46:23 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 5, 'Morgan': 3, 'Taylor': 3, 'Alex': 2}
2025-09-11 19:46:24 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:46:24 | INFO | Processed JSON message: {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:46:24 | INFO | Message received from author: Alex
2025-09-11 19:46:24 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 5, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:25 | INFO | Opening data file in read mode: PROJECT_ROOT/data/buzz.json
2025-09-11 19:46:25 | INFO | Reading data from file: PROJECT_ROOT/data/buzz.json
2025-09-11 19:46:25 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:25 | INFO | Processed JSON message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:25 | WARNING | ALERT: Pattern matched in message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:25 | INFO | Message received from author: Eve
2025-09-11 19:46:25 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 5, 'Diana': 3, 'Bob': 3, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:26 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:46:26 | INFO | Processed JSON message: {'message': 'Distributed systems break a lot.', 'author': 'Alice'}
2025-09-11 19:46:26 | INFO | Message received from author: Alice
2025-09-11 19:46:26 | INFO | Updated author counts: {'Charlie': 3, 'Alice': 6, 'Diana': 3, 'Bob': 3, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:27 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:27 | INFO | Processed JSON message: {'message': 'Have a great day! Unless your code crashes.', 'author': 'Charlie'}
2025-09-11 19:46:27 | INFO | Message received from author: Charlie
2025-09-11 19:46:27 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 6, 'Diana': 3, 'Bob': 3, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:28 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:28 | INFO | Processed JSON message: {'message': 'Buzz messages are just test messages.', 'author': 'Alice'}
2025-09-11 19:46:28 | INFO | Message received from author: Alice
2025-09-11 19:46:28 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 3, 'Bob': 3, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:29 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:29 | INFO | Processed JSON message: {'message': 'Kafka is cool, but hard to set up.', 'author': 'Diana'}
2025-09-11 19:46:29 | INFO | Message received from author: Diana
2025-09-11 19:46:29 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 3, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:30 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:30 | INFO | Processed JSON message: {'message': 'Hello, Kafka world! Hope this works.', 'author': 'Bob'}
2025-09-11 19:46:30 | INFO | Message received from author: Bob
2025-09-11 19:46:30 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 6, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:31 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:46:31 | INFO | Processed JSON message: {'message': 'This is a buzz message. Not sure what it does.', 'author': 'Eve'}
2025-09-11 19:46:31 | INFO | Message received from author: Eve
2025-09-11 19:46:31 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 7, 'Morgan': 3, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:32 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:46:32 | INFO | Processed JSON message: {'message': 'JSON is easy, until you mess up the brackets.', 'author': 'Morgan'}
2025-09-11 19:46:32 | INFO | Message received from author: Morgan
2025-09-11 19:46:32 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 7, 'Morgan': 4, 'Taylor': 3, 'Alex': 3}
2025-09-11 19:46:33 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:33 | INFO | Processed JSON message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:33 | WARNING | ALERT: Pattern matched in message: {'message': 'I love Python! Except when I get errors.', 'author': 'Taylor'}
2025-09-11 19:46:33 | INFO | Message received from author: Taylor
2025-09-11 19:46:33 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 7, 'Morgan': 4, 'Taylor': 4, 'Alex': 3}
2025-09-11 19:46:34 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:46:34 | INFO | Processed JSON message: {'message': 'Streaming data is fun, but sometimes it stops.', 'author': 'Alex'}
2025-09-11 19:46:34 | INFO | Message received from author: Alex
2025-09-11 19:46:34 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 7, 'Morgan': 4, 'Taylor': 4, 'Alex': 4}
2025-09-11 19:46:35 | INFO | Opening data file in read mode: PROJECT_ROOT/data/buzz.json
2025-09-11 19:46:35 | INFO | Reading data from file: PROJECT_ROOT/data/buzz.json
2025-09-11 19:46:35 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:35 | INFO | Processed JSON message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:35 | WARNING | ALERT: Pattern matched in message: {'message': 'Data engineering is confusing sometimes.', 'author': 'Eve'}
2025-09-11 19:46:35 | INFO | Message received from author: Eve
2025-09-11 19:46:35 | INFO | Updated author counts: {'Charlie': 4, 'Alice': 7, 'Diana': 4, 'Bob': 4, 'Eve': 8, 'Morgan': 4, 'Taylor': 4, 'Alex': 4}
